name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Brooks Bollinger,NYJ,2005,26,73,205,72.9,150,10.4,193,6,4.58,11,60,4.14,2.6,56.4,9,2.3,5.4,5,1,0,32,2,7,5.9,1558,NA,141.6,266,10.7,405,101.25,7.3,7.2,126.4,53.7,188.5,754,4,36,9,17,4.25,5511,1377.75,2003,10,6,27,200,Jets,Wisconsin
Browning Nagle,NYJ,1992,24,75,225,55.7,192,11.9,215,17,4.99,14,51,3.48,1.8,49.6,13,4.4,4.3,5,0,0,27,3,7,5.9,2280,NA,162.9,387,6.5,333,111,7.8,7.3,131.7,55.7,199.33,598,3,32,10.67,21,7,4653,1551,1991,4,2,7,34,Jets,Louisville
Bruce Mathison,BUF,1985,26,75,205,53.5,113,NA,203,14,5.73,10,60,3.53,1.8,49.6,7,6.1,4.8,4,NA,NA,22,1,4,7.2,1635,NA,163.5,228,8.8,14,4.67,5.7,3.6,88.4,42.4,11,33,3,1,0.33,2,0.67,189,63,1983,12,10,21,272,Chargers,Nebraska
Bubby Brister,PIT,1988,26,75,205,65.3,175,15.1,292,14,5.77,13,89,4.76,3,47.3,13,3.8,6,10,1,1,36,4,11,7.1,2634,NA,202.6,370,8.9,71,35.5,4.6,3.6,88.5,50.7,70,140,2,2,1,4,2,646,323,1986,4,3,12,67,Steelers,N.E. Louisiana
Byron Leftwich,JAX,2003,23,77,245,73,239,11.8,90,16,6.24,15,84,5.24,3.3,57.2,13,3.8,5.7,9,1,2,19,5,14,6.7,2819,NA,187.9,418,4.3,939,187.8,8.3,8.6,150.9,65.1,288.4,1442,5,89,17.8,28,5.6,11903,2380.6,2003,2,1,7,7,Jaguars,Marshall
Cade McNown,CHI,2000,23,73,208,68.5,154,10.7,169,9,4.81,10,68,4.01,2.9,55,9,3.2,5,4,0,1,27,1,8,5.9,1646,NA,164.6,280,8.8,675,168.75,8.5,8.1,138.5,55.5,304,1216,4,66,16.5,40,10,10368,2592,1999,5,1,12,12,Bears,UCLA
Cam Newton,CAR,2011,22,77,248,84.5,310,13.1,260,17,6.87,16,91,6.24,4.1,60,16,3.3,7.2,18,1,1,35,6,21,7.8,4051,55.04,253.2,517,6.3,191,63.67,10,10.9,178.2,65.4,97.33,292,3,30,10,7,2.33,2908,969.33,2011,1,1,1,1,Panthers,Auburn
Carson Palmer,CIN,2004,25,77,230,77.3,263,11,178,18,5.95,13,76,4.96,4.2,60.9,13,4.2,5.7,8,2,3,25,6,18,6.7,2897,NA,222.8,432,5.5,912,182.4,7.6,7.1,131.7,59.1,308.6,1543,5,72,14.4,49,9.8,11668,2333.6,2003,1,1,1,1,Bengals,USC
Chad Henne,MIA,2009,24,75,228,75.2,274,10.5,176,14,5.66,14,67,4.85,2.7,60.8,13,3.1,5.5,8,3,3,26,7,12,6.4,2878,51.31,205.6,451,5.5,828,207,7,7.1,133.9,59.7,346.75,1387,4,87,21.75,37,9.25,9715,2428.75,2008,4,2,26,57,Dolphins,Michigan
Chad Pennington,NYJ,2002,26,75,225,NA,275,11.3,135,6,7.09,15,47,7.49,NA,NA,12,1.5,8.2,12,1,2,22,8,22,7.8,3120,NA,208,399,5.2,848,282.67,8.6,9.2,157.6,63.6,444.67,1334,3,107,35.67,30,10,11446,3815.33,2000,1,1,18,18,Jets,Marshall
