age,height,weight,wins,tds,c_numyrs,year,c_avg_cmpp,c_avg_att,c_numyrs,c_avg_tds,c_avg_inter,c_avg_yds
28,75,210,2,3,3,1992,192.33,338.33,3,12,12.67,2380.67
27,73,200,6,11,2,1991,167,308,2,15,14,2301
28,77,216,5,9,2,1991,123.5,217.5,2,5.5,11.5,1308
25,76,225,4,6,4,1991,42.75,76,4,3.75,3,563
30,75,215,7,5,4,1991,81,158,4,6.75,4.5,1113
24,73,217,6,16,4,1990,123.25,251.75,4,9.5,10,1689
24,74,210,5,16,3,1990,158,263,3,13,12.33,1998.33
24,75,207,6,12,3,1990,136.67,230,3,16,6.33,1789.67
27,75,215,10,10,4,1990,96.75,155,4,7.75,5.5,1362.25
25,75,215,2,8,4,1990,85.5,148.5,4,6.75,6,1139.25
27,76,231,9,22,4,1989,81.5,153.25,4,7,7.25,1143.25
23,76,219,0,9,4,1989,109.75,173.5,4,11.25,4.5,1445.25
23,72,230,3,5,4,1989,157.5,270.25,4,13.5,10.5,2056.25
25,77,235,5,13,4,1988,103.25,168.5,4,12,6.25,1514.5
26,75,205,4,11,2,1988,35.5,70,2,1,2,323
23,74,212,5,11,4,1988,140,253.75,4,10.5,9.75,1670.25
24,74,197,3,9,4,1988,73.5,149,4,5.75,7.75,1004.75
23,76,224,9,8,3,1988,115.33,213,3,10.67,9.67,1453.33
26,70,180,6,8,4,1988,172.5,327,4,17.5,14,2689.75
23,75,220,4,8,4,1988,118.25,212.5,4,6.75,11,1631.75
26,76,205,3,7,4,1988,79,143.25,4,6,5.75,995.5
24,76,212,7,23,3,1987,204.67,352.33,3,20.33,10,2763.33
27,76,215,10,15,1,1987,25,40,1,2,2,278
24,76,217,3,11,5,1987,146.8,228,5,14,10,1967.6
25,72,196,2,11,4,1987,152.25,265,4,11.25,10.25,1909
24,77,212,5,10,5,1987,114.4,193,5,8.6,6.6,1482.2
25,76,215,12,22,1,1986,41,70,1,4,3,681
26,75,217,4,22,4,1986,94,169,4,8.25,7,1307
25,74,200,4,17,3,1986,122.67,231,3,12,10.67,1626.67
24,75,227,0,8,4,1986,184,287.75,4,12.75,9.5,2036.5
24,76,209,3,8,4,1986,109,188.75,4,7.5,6.5,1150.75
25,74,215,2,8,3,1986,197.33,302.67,3,18.67,11,2577.67
24,73,202,7,2,4,1986,94,168.75,4,8,9,1392.25
24,77,224,7,27,3,1985,153.67,283.33,3,14,9,2086.33
26,75,206,3,11,1,1985,245,463,1,19,15,3154
22,77,210,4,8,2,1985,231.5,371.5,2,20,14.5,2985.5
23,74,207,4,7,2,1985,179.5,323.5,2,11.5,12.5,2052
26,75,205,1,4,3,1985,4.67,11,3,0.33,0.67,63
25,76,212,7,23,2,1984,263,428,2,18.5,14.5,3304
26,76,223,6,16,3,1984,85,173.33,3,7.67,9.33,1129.33
29,75,210,6,14,3,1984,10.33,25.33,3,0.33,1.67,135
26,74,185,5,14,4,1984,74.75,125.25,4,9.25,3.25,1034.5
25,72,201,9,13,2,1984,99,199,2,6.5,8.5,1192.5
28,75,218,3,12,3,1984,80.67,165.33,3,6.33,5.67,1092.33
26,76,205,6,7,3,1984,66,121.67,3,6,5.67,985.67
23,75,225,4,6,3,1984,113.67,219.33,3,13.67,13.67,1604
22,76,224,7,20,4,1983,173.25,301,4,19.75,17.25,2149.25
27,75,217,2,18,4,1983,150.25,271.5,4,13.25,12.25,1954.5
28,73,190,5,11,2,1983,145.5,230.5,2,13,8,1744
23,75,215,4,7,4,1983,193.5,311.5,4,19.25,9.75,2337.25
29,76,205,0,5,2,1983,49,78,2,8,1.5,583.5
23,73,195,3,9,4,1982,163.25,265,4,21,8.5,2384
22,74,206,0,5,4,1982,101.25,196.5,4,13.5,7.75,1299
24,74,196,6,14,3,1981,128.33,233,3,10.67,10.67,1771
24,78,205,5,14,3,1981,187.67,326.67,3,21,16.33,2672.33
25,74,212,1,5,3,1981,68.33,120.67,3,10.33,5.33,1126
26,75,212,11,30,4,1980,90.5,166.25,4,11.25,8.5,1265.25
28,74,193,12,28,3,1980,115,216.33,3,19.67,12,1977.33
24,74,200,2,15,3,1980,89.33,171.67,3,8.33,8.33,1373.67
22,74,210,6,14,3,1980,48.67,102.67,3,2.67,5,693.67
25,74,215,5,11,3,1980,45.33,101.67,3,4.67,5.33,749.33
24,74,200,7,23,4,1979,126.75,259,4,9.25,13,1549.25
22,76,198,6,6,4,1979,71.75,138.5,4,5.5,5.25,1089.75
27,74,195,6,18,3,1978,59.33,130,3,4.67,10,916
29,72,192,7,13,3,1978,96.67,169.67,3,10.33,11.67,1470.33
23,74,196,6,13,3,1978,41.67,91.33,3,5.67,6.67,765
28,77,220,5,12,3,1978,146.67,276.33,3,9.67,15.67,2003
27,77,220,3,10,1,1978,93,184,1,10,15,1289
23,76,220,4,7,1,1978,181,352,1,38,18,3286
24,74,207,3,11,3,1977,33.67,63,3,5.33,2.33,547.33
25,75,200,3,9,3,1976,112.33,212.33,3,10.33,10,1354
23,74,208,7,8,3,1976,82,138.67,3,5,9,1126.67
23,71,182,5,8,3,1976,80.33,156,3,11,8.33,1096
27,75,214,4,7,3,1976,167,331.33,3,9.67,21.33,2069.33
27,73,201,2,4,3,1976,78.67,166,3,10,8.67,1123.67
23,76,216,4,13,3,1975,104.33,206.33,3,6.67,9,1478
27,73,195,4,9,2,1975,91,186.5,2,6.5,10.5,1059
27,76,210,7,11,1,1974,3,10,1,1,0,68
23,75,210,1,8,3,1974,77.67,148.67,3,9.33,5.67,1130
