name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds
Joe Montana,SFO,1980,24,74,200,87.8,176,10.2,100,9,5.89,15,71,5.52,5.5,-999,7,3.3,6.2,6,1,1,15,2,15,6.6,1795,-999,119.7,273,5.2,268,89.33,8,6.8,125.6,52,171.67,515,3,25,8.33,25,8.33,4121,1373.67
David Woodley,MIA,1980,22,74,210,63.1,176,10.5,127,17,5.01,13,61,3.6,4.3,53.8,11,5.2,4.2,5,1,2,17,6,14,5.7,1850,-999,142.3,327,4.9,146,48.67,6.8,5.1,103,47.4,102.67,308,3,8,2.67,15,5,2081,693.67
Vince Evans,CHI,1980,25,74,215,66.2,148,13.8,205,16,6.03,13,89,4.39,4,53.2,10,5.8,5.5,10,1,0,26,5,11,7.3,2039,-999,156.8,278,8.6,136,45.33,7.4,5.9,111.2,44.6,101.67,305,3,14,4.67,16,5.33,2248,749.33
Tommy Kramer,MIN,1979,24,74,200,69.3,315,10.8,249,24,5.23,16,55,4.2,4.1,55.7,16,4.2,4.9,10,3,3,36,7,23,6,3397,-999,212.3,566,6,507,126.75,6,4.4,100.9,48.9,259,1036,4,37,9.25,52,13,6197,1549.25
Steve Fuller,KAN,1979,22,76,198,55.8,146,10.2,244,14,4.04,16,40,2.38,2.2,54.1,12,5.2,3.6,4,0,1,37,6,6,5.5,1484,-999,92.8,270,12.1,287,71.75,7.9,7,123.4,51.8,138.5,554,4,22,5.5,21,5.25,4359,1089.75
Gary Danielson,DET,1978,27,74,195,73.5,199,11.5,237,17,5.47,16,47,4.39,5.1,56.7,11,4.8,5.4,10,1,1,25,6,18,6.5,2294,-999,143.4,351,6.6,178,59.33,7,4.3,101.3,45.6,130,390,3,14,4.67,30,10,2748,916
Joe Theismann,WAS,1978,29,72,192,61.6,187,13.9,-999,18,5.1,16,63,3.82,3.3,47.9,14,4.6,5.2,9,2,2,42,7,13,6.6,2593,-999,162.1,390,9.7,290,96.67,8.7,6.8,136.1,57,169.67,509,3,31,10.33,35,11.67,4411,1470.33
Matt Robinson,NYJ,1978,23,74,196,63.5,124,-999,228,16,6.03,16,77,4.47,4.9,46.6,11,6,5.8,10,1,1,28,6,13,7.5,2002,-999,125.1,266,9.5,125,41.67,8.4,6.3,121.9,45.6,91.33,274,3,17,5.67,20,6.67,2295,765
Don Strock,MIA,1978,28,77,220,83.1,72,11.5,73,6,5.22,16,57,5.01,8.9,53.3,7,4.4,5.9,4,-999,-999,9,5,12,6.1,825,-999,51.6,135,6.3,440,146.67,7.2,5.4,114.2,53.1,276.33,829,3,29,9.67,47,15.67,6009,2003
Bill Troup,BAL,1978,27,77,220,53.6,154,12.2,340,21,4.7,12,67,2.43,3.4,52,11,7.1,3.8,5,1,0,32,3,10,6.4,1882,-999,156.8,296,9.8,93,93,7,4.4,111,50.5,184,184,1,10,10,15,15,1289,1289
Doug Williams,TAM,1978,23,76,220,53.4,73,16,69,8,5.51,10,56,4.41,3.6,37.6,10,4.1,4.9,5,1,1,6,4,7,6,1170,-999,117,194,3,181,181,9.3,9.2,155.2,51.4,352,352,1,38,38,18,18,3286,3286
Richard Todd,NYJ,1977,24,74,207,60.3,133,14,203,17,5.74,12,87,3.86,4.2,50.2,11,6.4,5,8,1,3,24,3,11,7,1863,-999,155.3,265,8.3,101,33.67,8.7,8.7,146.9,53.4,63,189,3,16,5.33,7,2.33,1642,547.33
